comment,sadness,anger,confident,analytical
wright quote about infinitys canon status quoted a paraphrase not him. added citation and clarifying quote.,0.0,0.0,0.0,0.0
no what youre doing is speculating that its not canon. the fact is it is canon unless the creators say otherwise.,0.0,0.0,0.0,0.931994
moved glitch city link to see also as it is a non-canon item,0.0,0.0,0.0,0.589295
the bloom canon pages link to each other internally need only link here to the first.,0.0,0.0,0.0,0.825947
the overwhelming number of christians i.e. catholics and orthodox accept tobit in the canon.,0.0,0.0,0.0,0.532616
reverted. story about their son in non-canon.,0.0,0.0,0.0,0.0
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
removed speculation - nothing in canon about mass replacing the galaxy class etc. + other cleanup,0.0,0.0,0.0,0.0
 arc 4: bount (non-canon)  canonicity is at the judgment of the reader unless it directly contradicts the original,0.0,0.0,0.0,0.8766
disambiguation link to [[canon]],0.0,0.0,0.0,0.920855
 film canon from collective polls  correct typo,0.0,0.0,0.751512,0.0
correct name of great canon,0.0,0.0,0.0,0.0
correct name of great canon,0.0,0.0,0.849827,0.0
 d7 class  fixed grammar. linkified [[canon(fiction)|canon]].,0.0,0.0,0.0,0.932961
 influences canon and legacy ,0.0,0.0,0.0,0.920855
repairing link to disambiguation page (canon) using [[wp:pop|popups]]; [[wikipedia:disambiguation pages with links|you can help!]],0.0,0.0,0.0,0.820081
 known death eaters  removed attempted to murder harry at the end of cos this was movie canon not book.,0.0,0.613025,0.0,0.0
 known death eaters  removed attempted to murder harry at the end of cos this was movie canon not book.,0.0,0.0,0.0,0.0
 new formalist canon  add link to 1996 in poetry,0.0,0.0,0.0,0.0
 new formalist canon  add link to 1996 in poetry,0.0,0.0,0.0,0.724236
 alternative canon law charts ,0.0,0.0,0.0,0.762356
 alternative canon law charts ,0.0,0.0,0.898327,0.0
 christianity  maybe canon/apocrypha is the only illusion needed,0.0,0.0,0.0,0.0
fix disambiguation link (canon),0.0,0.0,0.0,0.939594
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.0,0.882284
correcting canon law (catholic church) links using [[wikipedia:autowikibrowser|awb]],0.0,0.0,0.849827,0.0
 traits  needs rewrite; siggests knowledge of deleted scenes that would not be considered canon,0.0,0.0,0.0,0.801827
if its non-canon it doersnyt belong here. events created for commercials are non-canon,0.0,0.0,0.0,0.77494
 ncc-1701-f  delete reference to unlicensed non-canon work see talk page,0.0,0.0,0.0,0.579367
 family law  +canon law,0.0,0.0,0.97759,0.0
[[category:canon cameras]],0.0,0.0,0.0,0.955445
 supermans powers  since the all star imprint isnt canon it shouldnt be in the article except under an alternate reality/universe category.,0.0,0.0,0.0,0.870269
 supermans powers  since the all star imprint isnt canon it shouldnt be in the article except under an alternate reality/universe category.,0.0,0.0,0.735644,0.0
 the gospel of thomas and the canon of the new testament  marcion was the first canon he cant have lacked them the others added them,0.0,0.0,0.0,0.0
 trivia  its pretty clear the movies arent canon....,0.0,0.0,0.0,0.0
 trivia  its pretty clear the movies arent canon....,0.0,0.0,0.0,0.506763
